business_id,labels
3,0 8
5,1 2 4 5 6 7
7,0 1 8
8,1 2 4 5 6 7
14,0 3 8
18,1 2 3 4 5 6 7
37,3 4 5 6 7
38,5 6 8
39,2 3 5 6 7
51,3 8
68,5 6 8
74,8
77,0 8
85,1 2 3 5 6 7 8
96,0 3 5 6 8
99,1 2 4 5 6 7
118,0 3 8
125,3 6 8
154,1 2 3 4 5 6
157,3 8
164,6 8
165,1 2 3 5 6 8
177,3 8
184,1 5 6 7
188,3 5 6 8
190,8
202,1 2 4 5 6 7
234,1 2 3 4 5 6 7 8
245,1 2 3 4 5 6 7 8
248,1 2 4 5 6 7
251,0 8
271,1 2 3 4 5 6 7
272,1 2 4 5 6 7
284,0 8
285,0 1 2 3 4 5 6 7 8
289,0 2 3 4 5 6 8
290,1 2 3 5 6 7
317,0 1 2 5 8
320,6 8
328,0 3 8
339,0 1 2 5 6 8
340,0 5 8
345,8
355,1 2 4 5 6 7
363,0 1 8
370,0 1 8
372,1 2 4 5 6 7
376,0 3 8
385,0 2 8
390,1 2 3 4 5 6 7
412,1 2 3 4 5 6 7
416,0 1 8
421,1 2 5 6
430,
459,1 2 4 5 6
464,3 5 6
466,0 1 8
472,1 2 3 4 5 6 7
487,1 2 3 4 5 6
495,1 2 3 5 6 7
515,2 3 5 6 8
526,1 2 4 5 6
534,1 2 3 4 5 6 7
538,3 6 8
541,0 1 2 5 6 8
546,0 2 5 6 8
549,5 6 8
559,0 3 8
603,1 2 5 6 7
628,1 2 3 5 6 7 8
645,0 3 5 6 8
649,8
657,0 3 8
664,6 8
667,1 2 5 6
680,3 8
683,6 8
689,1 2 3 5 6 7
694,5 6 8
707,0 8
723,1 2 3 5 6
726,1 2 3 5 6
728,6 8
733,0 3 6 8
752,2 4 5 6 7
756,0 6 8
790,6 8
805,0 1 2 3 5 6 8
812,1 2 3 5 6
818,0 3 8
822,0 8
828,0
830,1 2 4 5 6
848,0 3
872,0 3 5 8
882,1 2 3 5 6 8
891,3 5 6 8
893,0 1 2 6 8
906,0 3 8
909,0 2 5 6 7 8
910,8
911,0 3 8
912,1 2 5 6 8
913,1 2 4 5 6 7
943,3 8
955,0 1 8
956,1 2 3 5 6 7
972,1 2 4 5 6 7
976,0 3 5 6 8
998,1 2 4 5 6 7
1010,0 6 8
1011,2 3 5 6
1012,1 2 3 5 6
1022,0 2 3 5 8
1026,1 2 4 5 6 7
1032,1 2 3 5 6 7
1036,1 2 4 5 6 7
1052,0 3 8
1054,6 8
1063,6 8
1070,1 2 5 6 8
1085,1 2 5 6 7
1088,1 2 3 5 6 7 8
1098,8
1114,1 2 4 5 6 7
1137,0 1 2 3 5 6 8
1142,2 3 5 6 7 8
1145,1 2 3 5 6 7 8
1166,0 2 5 6 7
1167,0 1 2 3 5 6 8
1177,0 1 5 8
1189,1 2 3 5 6 7 8
1194,1 2 3 4 5 6 7
1215,0 2 5 6
1229,0
1231,1 2 3 5 6 7
1238,1 5 6 8
1239,0 1 3 4 5 6
1241,1 2 4 5 6 7
1245,1 2 4 5 6 7
1259,0 1 2 3 5 6 8
1265,0 1 2 3 6 8
1269,0 3 6 8
1271,8
1272,2 3 5 6 8
1277,0 5 8
1281,1 2 5 6 7
1310,1 2 4 5 6 7
1312,1 2 3 4 5 6 7
1313,3 6 8
1328,1 2 4 5 6 8
1329,0 1 2 4 5 6 8
1331,1 2 4 5 6
1332,1 2 5 6 8
1336,0 8
1339,1 2 3 5 6 7
1349,1 5 6
1356,1 2 3 4 5 6
1363,1 2 3 6
1382,1 2 4 5 6
1387,0 8
1393,5 6 8
1414,3 6 8
1416,8
1418,1 2 3 4 5 6 7
1424,1 2 3 4 5 6 7
1431,1 2 3 4 5 6 7
1441,6 8
1443,0 2 5 6
1453,0 3 5 6 8
1464,3 5
1467,1 2 4 5 6 7
1468,1 2 3 4 5 6
1497,8
1519,1 2 4 5 6 7
1527,0 2 3 4 5 6 8
1530,0 3 5 8
1545,1 2 3 4 5 6
1577,1 2 3 4 5 6 7
1583,0 1 2 5 6 7
1588,6 8
1590,0 8
1607,3 5 6 8
1615,0 1 3 5 7 8
1627,
1631,1 2 5 6
1638,8
1640,0 3 8
1646,1 2 4 5 6 7
1667,1 2 4 5 6 7
1696,1 2 4 5 6 7
1725,1 2 3 4 5 6 7
1735,3 8
