business_id,labels
3,0 1 2 3 4 8 
5,1 3 4 6 7 
7,1 2 3 6 8 
8,0 3 4 5 7 8 
14,1 4 7 8 
18,0 1 2 4 
37,0 2 5 6 
38,0 1 4 5 6 7 
39,1 3 4 5 6 
51,0 1 2 3 4 5 6 8 
68,1 3 6 7 
74,0 2 3 4 5 6 8 
77,0 1 2 3 4 5 7 8 
85,0 2 3 4 5 8 
96,0 1 3 4 7 8 
99,0 1 3 4 5 6 8 
118,1 5 6 7 
125,0 5 6 
154,2 3 4 6 
157,1 2 
164,2 3 5 7 
165,0 2 3 6 8 
177,1 5 
184,2 3 5 6 7 
188,0 1 2 5 7 8 
190,6 8 
202,0 1 3 4 7 
234,3 5 7 8 
245,1 5 
248,0 2 5 7 
251,0 3 4 6 7 8 
271,0 2 3 4 5 8 
272,0 2 3 4 5 6 
284,1 
285,2 
289,1 2 6 7 
290,0 2 3 5 6 
317,0 1 2 3 4 5 6 8 
320,0 1 3 
328,4 5 8 
339,3 4 5 7 
340,1 2 7 8 
345,1 2 3 5 7 8 
355,0 1 7 8 
363,0 1 2 3 4 5 8 
370,2 3 4 6 7 8 
372,0 2 5 7 8 
376,0 1 3 4 7 8 
385,0 1 2 3 4 5 6 
390,1 4 5 6 7 
412,0 1 4 6 7 8 
416,1 2 4 5 7 8 
421,0 1 3 4 5 
430,3 4 6 8 
459,3 5 7 
464,0 1 2 5 6 7 
466,0 5 7 
472,0 1 2 3 4 8 
487,1 
495,0 2 4 5 6 7 
515,
526,1 2 3 4 5 6 8 
534,2 6 7 8 
538,2 3 4 7 8 
541,0 1 2 5 8 
546,4 5 6 7 
549,2 3 6 7 8 
559,1 2 3 6 8 
603,0 2 3 4 6 
628,0 6 7 
645,1 3 6 7 8 
649,2 7 
657,0 1 4 5 6 
664,4 
667,0 2 3 4 7 8 
680,0 3 5 7 
683,0 1 2 3 5 8 
689,0 1 2 3 4 6 7 8 
694,0 2 4 6 7 8 
707,0 1 3 4 5 7 8 
723,0 5 8 
726,0 1 3 4 7 
728,0 1 2 3 7 8 
733,1 4 6 7 
752,1 3 4 5 6 7 
756,0 1 2 6 7 8 
790,0 1 3 
805,1 2 5 6 8 
812,3 6 8 
818,6 7 8 
822,1 3 6 7 
828,0 4 8 
830,0 1 4 8 
848,0 1 2 3 5 6 8 
872,3 4 6 8 
882,0 1 3 5 7 8 
891,1 2 3 4 5 6 7 
893,1 3 7 
906,0 1 6 8 
909,0 2 4 7 
910,2 3 6 7 
911,0 1 2 3 6 7 8 
912,0 1 3 4 6 7 8 
913,0 2 5 6 7 8 
943,0 1 7 8 
955,0 2 4 6 
956,1 2 4 5 6 7 
972,0 1 4 5 6 8 
976,1 2 3 5 8 
